2025-12-08T00:04:34.766Z DEBUG 273 --- [rm-scheduling-1] org.hibernate.SQL                        : select rs1_0.id,rs1_0.chunk_count,rs1_0.columns,rs1_0.created_by,rs1_0.created_date,rs1_0.expires_at,rs1_0.last_modified_by,rs1_0.last_modified_date,rs1_0.name,rs1_0.preview_columns,rs1_0.row_count,rs1_0.storage_format,rs1_0.storage_uri,rs1_0.ttl_days from result_set rs1_0 where rs1_0.expires_at<? 
2025-12-08T01:04:53.384Z DEBUG 273 --- [rm-scheduling-1] org.hibernate.SQL                        : select rs1_0.id,rs1_0.chunk_count,rs1_0.columns,rs1_0.created_by,rs1_0.created_date,rs1_0.expires_at,rs1_0.last_modified_by,rs1_0.last_modified_date,rs1_0.name,rs1_0.preview_columns,rs1_0.row_count,rs1_0.storage_format,rs1_0.storage_uri,rs1_0.ttl_days from result_set rs1_0 where rs1_0.expires_at<? 
2025-12-08T01:54:09.084Z  INFO 273 --- [cached.thread-5] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Could not connect to: /172.18.0.9:5701. Reason: IOException[Connection refused to address /172.18.0.9:5701] 
2025-12-08T01:54:09.084Z  WARN 273 --- [cached.thread-5] .h.i.s.t.TcpServerConnectionErrorHandler : [172.18.0.6]:5701 [dev] [5.5.0] Removing connection to endpoint [172.18.0.9]:5701 Cause => java.io.IOException {Connection refused to address /172.18.0.9:5701}, Error-Count: 5 
2025-12-08T01:54:09.084Z  INFO 273 --- [cached.thread-5] c.h.i.cluster.impl.MembershipManager     : [172.18.0.6]:5701 [dev] [5.5.0] Removing Member [172.18.0.9]:5701 - 68b4bce2-b935-4735-8906-23b4b7ab4e4e 
2025-12-08T01:54:09.084Z  INFO 273 --- [cached.thread-5] c.h.i.p.impl.PartitionStateManagerImpl   : [172.18.0.6]:5701 [dev] [5.5.0] Storing snapshot of partition assignments while removing UUID 68b4bce2-b935-4735-8906-23b4b7ab4e4e 
2025-12-08T01:54:09.085Z  INFO 273 --- [cached.thread-5] c.h.internal.cluster.ClusterService      : [172.18.0.6]:5701 [dev] [5.5.0] __Members {size:1, ver:27} [__Member [172.18.0.6]:5701 - 243cf81e-0ce0-4f6b-8253-f21621f67727 this_]_ 
2025-12-08T01:54:09.085Z  INFO 273 --- [cached.thread-8] c.h.t.TransactionManagerService          : [172.18.0.6]:5701 [dev] [5.5.0] Committing/rolling-back live transactions of [172.18.0.9]:5701, UUID: 68b4bce2-b935-4735-8906-23b4b7ab4e4e 
2025-12-08T01:54:09.097Z  INFO 273 --- [tform.migration] c.h.i.p.impl.MigrationManagerImpl        : [172.18.0.6]:5701 [dev] [5.5.0] Partition balance is ok, no need to repartition. 
2025-12-08T01:55:16.728Z  INFO 273 --- [.IO.thread-in-1] c.h.i.server.tcp.TcpServerConnection     : [172.18.0.6]:5701 [dev] [5.5.0] Initialized new cluster connection between /172.18.0.6:5701 and /172.18.0.9:39657 
2025-12-08T01:55:16.818Z  INFO 273 --- [ration.thread-0] c.h.internal.cluster.ClusterService      : [172.18.0.6]:5701 [dev] [5.5.0] __Members {size:2, ver:28} [__Member [172.18.0.6]:5701 - 243cf81e-0ce0-4f6b-8253-f21621f67727 this__Member [172.18.0.9]:5701 - 54293be0-33bb-4366-8bd8-6232f1ade6f8_]_ 
2025-12-08T01:55:17.069Z  INFO 273 --- [tform.migration] c.h.i.p.impl.MigrationManagerImpl        : [172.18.0.6]:5701 [dev] [5.5.0] Repartitioning cluster data. Migration tasks count: 271 
2025-12-08T01:55:17.170Z  INFO 273 --- [tform.migration] c.h.i.p.impl.MigrationManagerImpl        : [172.18.0.6]:5701 [dev] [5.5.0] All migration tasks have been completed. (repartitionTime=Mon Dec 08 01:55:17 UTC 2025, plannedMigrations=271, completedMigrations=271, remainingMigrations=0, totalCompletedMigrations=1633) 
